127.0.0.1 - - [18/May/2022:23:00:37 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/May/2022:23:00:44 +0700] "GET /DoAn/ HTTP/1.1" 500 14316
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/ HTTP/1.1" 200 32501
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/font-awesome.min.css HTTP/1.1" 200 17780
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/bootstrap.min.css HTTP/1.1" 200 99548
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/prettyPhoto.css HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/price-range.css HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/main.css HTTP/1.1" 200 40821
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/responsive.css HTTP/1.1" 200 6646
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/css/animate.css HTTP/1.1" 200 61631
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/js/jquery.js HTTP/1.1" 200 93106
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/js/jquery.scrollUp.min.js HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/js/price-range.js HTTP/1.1" 200 11257
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/js/jquery.prettyPhoto.js HTTP/1.1" 200 22060
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/js/main.js HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/images/product/01.jpg HTTP/1.1" 200 55418
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/images/logo.png HTTP/1.1" 200 63204
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/images/home/pricing.png HTTP/1.1" 200 10268
0:0:0:0:0:0:0:1 - - [18/May/2022:23:01:46 +0700] "GET /DoAn/assets/user/images/product/03.jpg HTTP/1.1" 200 38866
